Co_Ref,Prospect_Renewal_Date,days_to_renewal,Call_Date,Direction,cc_care_package,cc_care_package_discussed,cc_urgency_getting_on_site,cc_external_consultant,cc_agent_cross_sell_attempt,cc_customer_issues_concerns,cc_business_struggles_financial_hardship,cc_call_initiated_by,cc_questionnaire_completion,cc_chasing_response,cc_issues_within_questionnaire,cc_login_issues,cc_platform_issues,cc_dissatisfaction_time_to_complete,cc_process_complexity_concerns,cc_questions_harder_than_expected,cc_dissatisfaction_support,cc_pricing_mentioned,cc_pricing_sentiment_impact,cc_refund_discussed,cc_contractor_suggest_leave,cc_contractor_complained,Analysed_Call,Call_Year,cc_contractor_sentiment,cc_contractor_sentiment_start_score,cc_contractor_sentiment_end_score,cc_contractor_sentiment_overall_score,cc_contractor_sentiment_issues_score
DP6030,2024-11-04,12.0,2024-10-23,IN_BOUND,Standard,Yes,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,No,True,True,False,True,True,1,2024,Dissatisfied,20.0,60.0,40.0,20.0
AM2413,2025-01-15,2.0,2025-01-13,IN_BOUND,Premier,Yes,No,No,No,Yes,Yes,Customer,Yes,False,False,No,Yes,Yes,Yes,No,Yes,True,True,True,True,True,1,2025,Dissatisfied,20.0,60.0,40.0,30.0
KR2400,2025-10-16,7.0,2025-10-09,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,No,No,No,True,True,False,True,True,1,2025,Dissatisfied,20.0,80.0,80.0,20.0
FU6207,2025-07-05,5.0,2025-06-30,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,No,No,No,True,True,False,True,True,1,2025,Dissatisfied,20.0,60.0,40.0,20.0
QS6640,2025-07-12,1.0,2025-07-11,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,No,No,Yes,True,True,True,True,True,1,2025,Neutral,50.0,60.0,55.0,50.0
TD6813,2025-08-15,9.0,2025-08-06,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,False,False,True,True,True,1,2025,Dissatisfied,50.0,20.0,20.0,20.0
CQ9953,2024-11-15,0.0,2024-11-15,IN_BOUND,Not Discussed,No,No,No,No,No,Yes,Customer,No,False,False,No,Yes,No,No,No,Yes,True,True,False,True,True,1,2024,Dissatisfied,20.0,60.0,40.0,40.0
TZ7190,2025-11-04,8.0,2025-10-27,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,Yes,No,Yes,False,False,False,True,True,1,2025,Dissatisfied,20.0,10.0,10.0,10.0
YF2574,2025-01-26,10.0,2025-01-16,IN_BOUND,Not Discussed,No,No,No,No,Yes,No,Customer,No,False,False,No,No,No,Yes,No,Yes,True,True,True,True,True,1,2025,Satisfied,40.0,90.0,90.0,90.0
EQ2869,2025-11-28,2.0,2025-11-26,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Not Relevant,No,False,False,No,No,No,No,No,No,False,False,False,False,False,1,2025,Satisfied,50.0,80.0,85.0,85.0
LM0230,2025-08-01,7.0,2025-07-25,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,Yes,No,No,No,No,False,False,False,True,True,1,2025,Satisfied,20.0,90.0,80.0,80.0
UK2563,2025-10-12,3.0,2025-10-09,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,False,False,False,True,True,1,2025,Satisfied,20.0,80.0,80.0,80.0
DT7731,2024-10-14,11.0,2024-10-03,IN_BOUND,Not Discussed,No,No,No,No,Yes,Yes,Customer,No,False,False,No,No,No,No,No,No,True,True,False,True,True,1,2024,Dissatisfied,20.0,60.0,40.0,40.0
GB7506,2025-03-13,7.0,2025-03-06,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Not Relevant,No,False,False,No,No,No,No,No,No,False,False,False,True,True,1,2025,Dissatisfied,50.0,0.0,0.0,85.0
KF1439,2025-08-27,0.0,2025-08-27,IN_BOUND,Not Discussed,No,Yes,No,No,Yes,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,False,False,True,True,True,1,2025,Dissatisfied,40.0,20.0,20.0,20.0
NM4287,2025-03-20,2.0,2025-03-18,OUT_BOUND,Not Discussed,No,No,No,No,No,No,Customer,No,False,False,No,Yes,No,Yes,No,Yes,True,True,True,True,True,1,2025,Dissatisfied,20.0,40.0,30.0,30.0
